ma_buucuc,ma_cn,ma_quanhuyen,ten_quanhuyen
CH0497,GLI,6010,THÀNH PHỐ PLEIKU
CH0528,LDG,,
HBDLKA,DLK,6366,HUYỆN KRÔNG A NA
HBKGKL,KGG,9218,HUYỆN KIÊN LƯƠNG
TTU,HNI,1340,HUYỆN THANH TRÌ
CH0672,BLU,,
HBNAQP,NAN,4711,HUYỆN QUẾ PHONG
OSNAN,NAN,4610,THÀNH PHỐ VINH
CH0666,AGG,,
CH0792,HNI,1510,QUẬN HÀ ĐÔNG
OSLAN,LAN,8510,THÀNH PHỐ TÂN AN
CH0362,THA,,
DDA,HNI,1150,QUẬN ĐỐNG ĐA
HBYBYH,YBN,3219,HUYỆN YÊN BÌNH
CHKGAT,KGG,9222,HUYỆN PHÚ QUỐC
HNIHAG,HNI,,
HBHPLC,HPG,1836,QUẬN LÊ CHÂN
HNI034,HNI,1390,HUYỆN SÓC SƠN
NTUN,BDG,8223,THỊ XÃ TÂN UYÊN
BNL,LAN,8523,HUYỆN BẾN LỨC
CH0082,HCM,,
HBHTDT,HTH,4849,HUYỆN ĐỨC THỌ
BMTG,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
CHTUD,VPC,2818,HUYỆN LẬP THẠCH
BDGVC,BDG,8239,THÀNH PHỐ THUẬN AN
CH0037,HGG,3139,HUYỆN HOÀNG SU PHÌ
CH0355,THA,,
HBQNHK,QNH,2010,THÀNH PHỐ HẠ LONG
CH0308,NAN,,
MLO,HNI,1510,QUẬN HÀ ĐÔNG
CH0247,HYN,1618,HUYỆN ÂN THI
TXN,HNI,1200,QUẬN THANH XUÂN
CH0084,HCM,7270,QUẬN GÒ VẤP
HHMXTI,HCM,7310,HUYỆN HÓC MÔN
CH0686,CMU,,
CH0639,TNH,,
CH0005,BGG,,
PNG,KHA,6510,THÀNH PHỐ NHA TRANG
HBTHBT,THA,4481,HUYỆN BÁ THƯỚC
HBBGLM,BGG,2318,HUYỆN LỤC NAM
HBHCBG,HCM,7380,HUYỆN BÌNH CHÁNH
TXT,HNI,1200,QUẬN THANH XUÂN
LHU,LAN,8531,HUYỆN CẦN GIUỘC
HBCMUM,CMU,9721,HUYỆN U MINH
LGHA,LAN,8523,HUYỆN BẾN LỨC
PXL,HCM,7250,QUẬN PHÚ NHUẬN
CHDGDS,DKG,6416,HUYỆN ĐẮK SONG
TQD,HNI,1150,QUẬN ĐỐNG ĐA
CH0533,LDG,,
DNC,QNM,5642,THỊ XÃ ĐIỆN BÀN
VIHHG,HNI,,
TGG,TGG,8610,THÀNH PHỐ MỸ THO
71116,HCM,,
NNHG,HNI,1180,QUẬN BA ĐÌNH
YSNG,TQG,3010,THÀNH PHỐ TUYÊN QUANG
THL,HNM,4033,HUYỆN THANH LIÊM
BLUDHI,BLU,9629,HUYỆN ĐÔNG HẢI
CH0544,PYN,,
CHDNLC,DNG,5557,QUẬN LIÊN CHIỂU
CH0050,LSN,,
MTNBG,LOG,9028,QUẬN BÌNH THỦY
CH0008,BGG,,
LVS,HCM,7360,QUẬN TÂN BÌNH
TYT,HCM,7600,QUẬN TÂN PHÚ
TLM,HNI,1260,QUẬN NAM TỪ LIÊM
CH0484,DLK,,
LCSN,LDG,6743,HUYỆN BẢO LÂM
HGGA,HCM,7560,QUẬN 7
CH0538,NTN,6610,THÀNH PHỐ PHAN RANG-THÁP CHÀM
HBDBML,DBN,3839,THỊ XÃ MƯỜNG LAY
CH0253,HYN,1616,HUYỆN PHÙ CỪ
CH0725,KGG,9210,THÀNH PHỐ RẠCH GIÁ
TUY,HDG,1765,HUYỆN TỨ KỲ
CH0716,HUG,,
OSLDG,LDG,,
CH0722,HUG,,
HBQBSG,QBH,,
TTRI,HNI,1270,QUẬN HOÀNG MAI
CH0567,BPC,8333,HUYỆN CHƠN THÀNH
CH0661,AGG,,
TNTN,CMU,9730,HUYỆN ĐẦM DƠI
CH0575,BTE,,
BTG,LCI,3341,HUYỆN BẢO THẮNG
LHN,HNI,1270,QUẬN HOÀNG MAI
HBTQHY,TQG,3055,HUYỆN HÀM YÊN
CH0343,THA,4538,HUYỆN NÔNG CỐNG
TMC,DTP,8717,HUYỆN TAM NÔNG
CH0690,CTO,,
D00148,TNH,,
HBKGHT,KGG,9220,THÀNH PHỐ HÀ TIÊN
VPT,CNTCT,,
CH0778,HNI,,
11713,HNI,,
HBDBNP,DBN,3841,HUYỆN NẬM PỒ
HXH,HCM,7170,QUẬN BÌNH THẠNH
PLA,HNI,1510,QUẬN HÀ ĐÔNG
CH0088,HCM,7100,QUẬN 1
LCNG,HPG,1836,QUẬN LÊ CHÂN
CH0122,HCM,7200,QUẬN THỦ ĐỨC
CNM,HNI,1100,QUẬN HOÀN KIẾM
CHKGG,HNI,1200,QUẬN THANH XUÂN
HBHYKC,HYN,1625,HUYỆN KHOÁI CHÂU
HBBKNS,BKN,2623,HUYỆN NGÂN SƠN
13926,HNI,,
HBHNLB,HNI,1250,QUẬN LONG BIÊN
VTU01,VTU,7910,THÀNH PHỐ VŨNG TÀU
DIH,HNI,1420,HUYỆN MÊ LINH
HBNBKS,NBH,4339,HUYỆN KIM SƠN
11306,HNI,,
TBG,TNH,8433,THỊ XÃ TRẢNG BÀNG
CH0334,QBH,5128,HUYỆN TUYÊN HÓA
HGVG,TVH,9410,THÀNH PHỐ TRÀ VINH
CH0142,HBH,,
TTQU8,HCM,7510,QUẬN 8
HBCTCR,CTO,9036,QUẬN CÁI RĂNG
HBHDNG,HDG,1761,HUYỆN NINH GIANG
HBQNVD,QNH,2053,HUYỆN VÂN ĐỒN
CH0394,KTM,,
CH0187,SLA,,
SSN,HNI,1390,HUYỆN SÓC SƠN
CHVLBM,VLG,8921,THỊ XÃ BÌNH MINH
HBAGCT,AGG,8822,HUYỆN CHÂU THÀNH
TMQ,BDH,5932,HUYỆN HOÀI NHƠN
HBTBTT,TBH,4128,HUYỆN THÁI THỤY
71011,HCM,,
CH0540,NTN,,
COLO,HCM,7510,QUẬN 8
HANM,HNI,1571,HUYỆN ỨNG HÒA
CH0468,BTN,,
CH0598,DNI,8142,HUYỆN ĐỊNH QUÁN
AMY,HNI,1576,HUYỆN MỸ ĐỨC
DTG,LDG,6733,HUYỆN ĐỨC TRỌNG
HBSTMT,STG,9523,HUYỆN MỸ TÚ
PCO,HNI,1536,HUYỆN PHÚC THỌ
CH0762,TVH,,
TTKT3,LOG,7290,QUẬN 12
HBBGLN,BGG,2330,HUYỆN LỤC NGẠN
CH0100,HCM,,
CHPTT,HNI,1340,HUYỆN THANH TRÌ
CH0799,HNI,,
CH0547,PYN,,
TUK,HNI,1340,HUYỆN THANH TRÌ
HBVTPM,VTU,7956,THỊ XÃ PHÚ MỸ
CH0669,BLU,9610,THÀNH PHỐ BẠC LIÊU
HUBTDU,BNH,2218,HUYỆN TIÊN DU
HBCBNB,CBG,2756,HUYỆN NGUYÊN BÌNH
CH0208,BNH,2232,HUYỆN GIA BÌNH
CMS,QNH,,
CH0243,HPG,,
LTG,HNI,1150,QUẬN ĐỐNG ĐA
HBDLEK,DLK,6334,HUYỆN EA KAR
CH0041,HGG,,
QBH01,QBH,5110,THÀNH PHỐ ĐỒNG HỚI
CH0263,NDH,4239,HUYỆN MỸ LỘC
HNIDDA,HNI,1150,QUẬN ĐỐNG ĐA
TTTPU,HCM,7600,QUẬN TÂN PHÚ
12612,HNI,,
PGD,HUE,5349,HUYỆN PHONG ĐIỀN
TTITDN,HNI,1580,HUYỆN PHÚ XUYÊN
CH0611,LAN,,
TNHP,TGG,8634,HUYỆN CHÂU THÀNH
CH0766,VLG,,
HBSLPY,SLA,3636,HUYỆN PHÙ YÊN
HBHPAD,HPG,1848,HUYỆN AN DƯƠNG
NDH01,NDH,4210,THÀNH PHỐ NAM ĐỊNH
TTITNT,HNI,1585,HUYỆN THƯỜNG TÍN
CH0543,PYN,6210,THÀNH PHỐ TUY HÒA
CH0337,QBH,,
CH0280,QNH,2079,THÀNH PHỐ UÔNG BÍ
PVCU,HCM,7270,QUẬN GÒ VẤP
HQNNAL,QNI,5710,THÀNH PHỐ QUẢNG NGÃI
HMN,HCM,7310,HUYỆN HÓC MÔN
CH0498,GLI,6069,HUYỆN PHÚ THIỆN
CH0091,HCM,7310,HUYỆN HÓC MÔN
AHA,TNH,8433,THỊ XÃ TRẢNG BÀNG
PUTH,HCM,7600,QUẬN TÂN PHÚ
CH0058,TNN,2553,HUYỆN ĐẠI TỪ
CH0734,KGG,,
CH0587,DKG,6418,HUYỆN ĐẮK MIL
TCT,PHO,2910,THÀNH PHỐ VIỆT TRÌ
NPT,BTN,8010,THÀNH PHỐ PHAN THIẾT
HBVPYL,VPC,2828,HUYÊN YÊN LẠC
HBHCQ7,HCM,7560,QUẬN 7
HQN,BPC,8341,HUYỆN HỚN QUẢN
PCTI,CNTCT,,
CH0750,STG,,
CH0551,PYN,,
PDG,TNH,8431,HUYỆN GÒ DẦU
72206,HCM,,
PMH,HCM,7560,QUẬN 7
CH0026,CBG,,
CH0049,LSN,,
HBCTTL,CTO,9060,HUYỆN THỚI LAI
VNB,LCI,3316,HUYỆN SI MA CAI
HBKTKT,KTM,5810,THÀNH PHỐ KON TUM
DKGDGG,DKG,6427,HUYỆN ĐẮK GLONG
BNT,HCM,7100,QUẬN 1
HBNDLH,NDH,,
BCU,HCM,7170,QUẬN BÌNH THẠNH
MIG,HNI,1270,QUẬN HOÀNG MAI
CH0155,LCI,,
CH0746,STG,,
HBLSVQ,LSN,2439,HUYỆN VĂN QUAN
TNLP,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
HBTHTA,THA,4456,HUYỆN THIỆU HÓA
